📌 Idea / Título,🎯Acción esperada,Etapa del Embudo,👤 Tags de audiencia,🎥 Formato narrativo,📱 Formato / Canal,🚦 Estado,📊 Lección / Resultado,Producto
"Guion reel lanzamiento ",,,,,,Idea,,
“Así es mi asesoría”,"Convertir, Educar",Acción,General,Explicativo,Reel,Idea,,
Agenda tu asesoría en 2 pasos,Vender,Acción,,"Comercial, Explicativo",Reel,Idea,,
“Diseñar con intención. Vivir con diseño.”,"Inspirar, Poscisionar",Descubrimiento,,Manifiesto corto,Reel,Idea,,
Videoarte poético de espacios,"Branding, Conectar, Inspirar",Descubrimiento,,"Atmosférico, Videoarte contemplativo",Reel,Idea,,
Ventana con sol y planta (poético),"Conectar, Inspirar",Descubrimiento,Contemporáneo,Videoarte contemplativo,Reel,Idea,,
"Animación antropometria ","Conectar, Educar, Inspirar",Descubrimiento,"Arquitectos, Contemporáneo, Diseñadores, Innovadores (adoptadores tempranos)",Didactico,Reel,Idea,,
Proceso de diseño resumido Jose Talero,"Convertir, Vender",Interés,,"Documental, Explicativo, Pantalla, Voz en off",Reel,Idea,,
Lo que nadie te dice antes de mandar a hacer tu cocina,Educar,Interés,,Explicativo,Reel,Idea,,
"Después de años postergándolo, por fin mandé a hacer mi cocina",Conectar,Interés,,Documental,Reel,Idea,,
Errores que todos cometen al diseñar su cocina,Educar,Interés,,Explicativo,Reel,Idea,,
"Lifestyle nómada (trabajando desde cafés, casas, renders)","Humanizar, Inspirar",Interés,,"Documental, Vlog Artistico",Reel,Idea,,
"Testimonio Jose talero ","Convertir, Inspirar, Vender",Decisión,,"Documental, Explicativo",Reel,Idea,,
Mónica vive en Cajicá y transformó su cocina en Bogotá sin salir de casa,"Inspirar, Vender",Decisión,,Documental,Reel,Idea,,
"¿Qué incluye exactamente mi asesoría de $100,000?","Educar, Vender",Acción,,Explicativo,Reel,Idea,,
"Pagó $100,000 y esto fue lo que recibió",Convertir,Acción,,"Pantalla, Voz en off",Reel,Idea,,
