📌 Idea / Título,Etapa del Embudo,Producto,🎥 Formato narrativo,🎯Acción esperada,👤 Tags de audiencia,📊 Lección / Resultado,📱 Formato / Canal,🚦 Estado
Ventana con sol y planta (poético),Descubrimiento,,Videoarte contemplativo,"Conectar, Inspirar",Contemporáneo,,Reel,Idea
“Así es mi asesoría”,Acción,,Explicativo,"Convertir, Educar",General,,Reel,Idea
“Diseñar con intención. Vivir con diseño.”,Descubrimiento,,Manifiesto corto,"Inspirar, Poscisionar",,,Reel,Idea
"Lifestyle nómada (trabajando desde cafés, casas, renders)",Interés,,"Documental, Vlog Artistico","Humanizar, Inspirar",,,Reel,Idea
Videoarte poético de espacios,Descubrimiento,,"Atmosférico, Videoarte contemplativo","Branding, Conectar, Inspirar",,,Reel,Idea
"Pagó $100,000 y esto fue lo que recibió",Acción,,"Pantalla, Voz en off",Convertir,,,Reel,Idea
Mónica vive en Cajicá y transformó su cocina en Bogotá sin salir de casa,Decisión,,Documental,"Inspirar, Vender",,,Reel,Idea
"Después de años postergándolo, por fin mandé a hacer mi cocina",Interés,,Documental,Conectar,,,Reel,Idea
"¿Qué incluye exactamente mi asesoría de $100,000?",Acción,,Explicativo,"Educar, Vender",,,Reel,Idea
Errores que todos cometen al diseñar su cocina,Interés,,Explicativo,Educar,,,Reel,Idea
Agenda tu asesoría en 2 pasos,Acción,,"Comercial, Explicativo",Vender,,,Reel,Idea
Lo que nadie te dice antes de mandar a hacer tu cocina,Interés,,Explicativo,Educar,,,Reel,Idea
"Testimonio Jose talero ",Decisión,,"Documental, Explicativo","Convertir, Inspirar, Vender",,,Reel,Idea
Proceso de diseño resumido Jose Talero,Interés,,"Documental, Explicativo, Pantalla, Voz en off","Convertir, Vender",,,Reel,Idea
"Animación antropometria ",Descubrimiento,,Didactico,"Conectar, Educar, Inspirar","Arquitectos, Contemporáneo, Diseñadores, Innovadores (adoptadores tempranos)",,Reel,Idea
"Guion reel lanzamiento ",,,,,,,,Idea
